file_urls,image_urls,name,price,url
,https://allo.uaNone,,64 999,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,"Ноутбук Apple MacBook Pro 16"" M1 Pro 512Gb MK1E3 Silver",124 999,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-pro-16-silver.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,"Ноутбук Apple MacBook Pro 16"" M1 Pro 512Gb MK1E3 Silver",124 999,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-pro-16-silver.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,124 999,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,"Ноутбук Apple MacBook Air 13"" M2 256GB (MLY13) Starlight",64 999,https://allo.ua/ua/products/notebooks/apple-macbook-air-13-m2-256gb-mly13-starlight.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,"Ноутбук Apple MacBook Air 13"" M2 256GB (MLY13) Starlight",64 999,https://allo.ua/ua/products/notebooks/apple-macbook-air-13-m2-256gb-mly13-starlight.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,64 999,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Lenovo IdeaPad 1 15IAU7 (82QD004ARA),22 999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-1-15iau7-82qd004ara.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Lenovo IdeaPad 1 15IAU7 (82QD004ARA),22 999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-1-15iau7-82qd004ara.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,22 999,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук ASUS X515EP-EJ663 (90NB0TZ1-M00J40),31 999,https://allo.ua/ua/products/notebooks/asus-x515ep-ej663-90nb0tz1-m00j40.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук ASUS X515EP-EJ663 (90NB0TZ1-M00J40),31 999,https://allo.ua/ua/products/notebooks/asus-x515ep-ej663-90nb0tz1-m00j40.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
